App;Open;date
youtube;dismissedAppOpening;2023-03-21T07:52:33Z
youtube;dismissedAppOpening;2023-03-21T07:56:32Z
youtube;dismissedAppOpening;2023-03-21T07:56:36Z
youtube;openedApp;2023-03-21T07:56:55Z
youtube;openedApp;2023-03-21T16:07:00Z
youtube;openedApp;2023-03-21T19:40:58Z
youtube;openedApp;2023-03-22T06:42:17Z
youtube;dismissedAppOpening;2023-03-22T06:44:30Z
mydealz;openedApp;2023-03-22T11:31:54Z
youtube;openedApp;2023-03-22T20:24:13Z
youtube;openedApp;2023-03-23T17:19:12Z
youtube;openedApp;2023-03-23T18:26:38Z
twitter;dismissedAppOpening;2023-03-23T19:47:36Z
twitter;openedApp;2023-03-23T19:47:49Z
youtube;openedApp;2023-03-23T22:48:21Z
twitter;dismissedAppOpening;2023-03-24T05:28:19Z
twitter;dismissedAppOpening;2023-03-24T05:28:23Z
mydealz;dismissedAppOpening;2023-03-24T10:55:36Z
mydealz;openedApp;2023-03-24T11:01:37Z
mydealz;openedApp;2023-03-24T11:06:19Z
youtube;openedApp;2023-03-24T11:36:00Z
youtube;openedApp;2023-03-24T11:41:39Z
mydealz;openedApp;2023-03-24T11:54:33Z
mydealz;openedApp;2023-03-24T15:09:36Z
mydealz;dismissedAppOpening;2023-03-26T09:35:10Z
mydealz;dismissedAppOpening;2023-03-26T16:27:31Z
mydealz;openedApp;2023-03-26T18:46:27Z
youtube;openedApp;2023-03-26T21:38:46Z
mydealz;openedApp;2023-03-27T07:25:32Z
mydealz;openedApp;2023-03-27T07:45:13Z
mydealz;openedApp;2023-03-27T08:35:48Z
mydealz;dismissedAppOpening;2023-03-27T08:38:09Z
mydealz;openedApp;2023-03-27T08:38:35Z
youtube;openedApp;2023-03-27T19:13:50Z
youtube;dismissedAppOpening;2023-03-27T20:09:05Z
youtube;openedApp;2023-03-28T04:52:45Z
youtube;openedApp;2023-03-28T06:13:47Z
youtube;dismissedAppOpening;2023-03-28T06:49:16Z
youtube;openedApp;2023-03-28T07:31:19Z
youtube;dismissedAppOpening;2023-03-28T09:33:45Z
youtube;openedApp;2023-03-28T09:33:52Z
youtube;openedApp;2023-03-28T14:47:10Z
youtube;openedApp;2023-03-28T19:35:46Z
