ID;date;device;type;os;category;superCategory;time_spent;frequency
hwyr5z1l;2023-05-02 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;1260;23
hwyr5z1l;2023-05-02 00:00:00+00:00;phone;app;ios;Music / Audio;Entertainment;1020;39
hwyr5z1l;2023-05-02 00:00:00+00:00;phone;app;ios;Mobility;Other;780;27
hwyr5z1l;2023-05-02 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;540;3
hwyr5z1l;2023-05-02 00:00:00+00:00;phone;app;ios;Mobility;Other;300;1
hwyr5z1l;2023-05-02 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;180;3
hwyr5z1l;2023-05-02 00:00:00+00:00;phone;app;ios;Mail;Communication ICT;180;3
hwyr5z1l;2023-05-02 00:00:00+00:00;phone;app;ios;Food;Other;120;7
hwyr5z1l;2023-05-02 00:00:00+00:00;phone;app;ios;Shopping ;Entertainment;60;1
hwyr5z1l;2023-05-02 00:00:00+00:00;phone;app;ios;Social Media;Social Media;60;1
hwyr5z1l;2023-05-02 00:00:00+00:00;phone;app;ios;Health / Wellbeing;Other;60;4
hwyr5z1l;2023-05-02 00:00:00+00:00;phone;app;ios;System;Other;60;1
hwyr5z1l;2023-05-02 00:00:00+00:00;tablet;app;ios;Study / Learning;Study / Work ICT;4140;2
hwyr5z1l;2023-05-03 00:00:00+00:00;phone;app;ios;Web Browser / Search Machine ;Other;2520;9
hwyr5z1l;2023-05-03 00:00:00+00:00;phone;app;ios;Mobility;Other;1020;34
hwyr5z1l;2023-05-03 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;480;23
hwyr5z1l;2023-05-03 00:00:00+00:00;phone;app;ios;Mail;Communication ICT;360;10
hwyr5z1l;2023-05-03 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;300;4
hwyr5z1l;2023-05-03 00:00:00+00:00;phone;app;ios;Social Media;Social Media;240;2
hwyr5z1l;2023-05-03 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;180;3
hwyr5z1l;2023-05-03 00:00:00+00:00;phone;app;ios;Mobility;Other;180;1
hwyr5z1l;2023-05-03 00:00:00+00:00;phone;app;ios;Social Media;Social Media;180;1
hwyr5z1l;2023-05-03 00:00:00+00:00;phone;app;ios;Navigation;Other;120;2
hwyr5z1l;2023-05-03 00:00:00+00:00;phone;app;ios;Navigation;Other;120;1
hwyr5z1l;2023-05-03 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;120;1
hwyr5z1l;2023-05-03 00:00:00+00:00;phone;app;ios;Sport;Other;120;1
hwyr5z1l;2023-05-03 00:00:00+00:00;phone;app;ios;Music / Audio;Entertainment;60;1
hwyr5z1l;2023-05-03 00:00:00+00:00;phone;app;ios;Video;Entertainment;60;1
hwyr5z1l;2023-05-03 00:00:00+00:00;phone;app;ios;Mobility;Other;60;4
hwyr5z1l;2023-05-03 00:00:00+00:00;phone;app;ios;Food;Other;60;2
hwyr5z1l;2023-05-03 00:00:00+00:00;phone;app;ios;News;Entertainment;60;5
hwyr5z1l;2023-05-03 00:00:00+00:00;phone;app;ios;Mobility;Other;120;2
hwyr5z1l;2023-05-03 00:00:00+00:00;phone;app;ios;Mobility;Other;60;4
hwyr5z1l;2023-05-03 00:00:00+00:00;phone;website;ios;Web Browser / Search Machine ;Other;540;
hwyr5z1l;2023-05-04 00:00:00+00:00;phone;app;ios;Web Browser / Search Machine ;Other;3360;13
hwyr5z1l;2023-05-04 00:00:00+00:00;phone;app;ios;Video;Entertainment;2580;1
hwyr5z1l;2023-05-04 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;960;25
hwyr5z1l;2023-05-04 00:00:00+00:00;phone;app;ios;Music / Audio;Entertainment;960;34
hwyr5z1l;2023-05-04 00:00:00+00:00;phone;app;ios;System;Other;840;8
hwyr5z1l;2023-05-04 00:00:00+00:00;phone;app;ios;Mobility;Other;840;24
