ID,date,device,type,os,name,category,superCategory,time_spent,frequency
hwyr5z1l,2023-04-30 00:00:00+00:00,phone,app,ios,Discord,Messenger,Communication ICT,2340,1
hwyr5z1l,2023-04-30 00:00:00+00:00,phone,app,ios,Signal,Messenger,Communication ICT,660,9
hwyr5z1l,2023-04-30 00:00:00+00:00,phone,app,ios,Whatsapp,Messenger,Communication ICT,540,11
hwyr5z1l,2023-04-30 00:00:00+00:00,phone,app,ios,Spotify,Music / Audio,Entertainment,480,30
hwyr5z1l,2023-04-30 00:00:00+00:00,phone,app,ios,mydealz,Shopping ,Entertainment,420,1
hwyr5z1l,2023-04-30 00:00:00+00:00,phone,app,ios,Wikipedia,Research,Study / Work ICT,420,1
hwyr5z1l,2023-04-30 00:00:00+00:00,phone,app,ios,Formula1,Sport,Other,300,6
hwyr5z1l,2023-04-30 00:00:00+00:00,phone,app,ios,Amazon,Shopping ,Entertainment,240,1
hwyr5z1l,2023-04-30 00:00:00+00:00,phone,app,ios,Einstellungen,System,Other,240,3
hwyr5z1l,2023-04-30 00:00:00+00:00,phone,app,ios,Nachrichten,News,Entertainment,60,1
hwyr5z1l,2023-04-30 00:00:00+00:00,phone,app,ios,onesec,Health / Wellbeing,Other,60,1
hwyr5z1l,2023-04-30 00:00:00+00:00,phone,app,ios,Mail,Mail,Communication ICT,60,2
hwyr5z1l,2023-04-30 00:00:00+00:00,phone,website,ios,tagesschau.de,News,Entertainment,1200,1
hwyr5z1l,2023-04-30 00:00:00+00:00,phone,website,ios,google.de,Web Browser / Search Machine ,Other,480,1
hwyr5z1l,2023-04-30 00:00:00+00:00,tablet,app,ios,NotabilityUni,Study / Learning,Study / Work ICT,8520,1
hwyr5z1l,2023-04-30 00:00:00+00:00,tablet,app,ios,Youtube,Video,Entertainment,5820,3
hwyr5z1l,2023-04-30 00:00:00+00:00,tablet,app,ios,F1TV,Video,Entertainment,4260,1
